Region,Distrito,Municipio,Codigo,Escuela,Categoria,Graduados,Cohorte,Tasa
ARECIBO,MANATÍ,BARCELONETA,10702,FERNANDO SURIA CHAVES,TODOS,219,298,73.48%
ARECIBO,MANATÍ,BARCELONETA,10702,FERNANDO SURIA CHAVES,IMPEDIDOS,36,57,63.15%
ARECIBO,MANATÍ,BARCELONETA,10702,FERNANDO SURIA CHAVES,BAJO NIVEL DE POBREZA,157,216,72.68%
ARECIBO,MANATÍ,BARCELONETA,10702,FERNANDO SURIA CHAVES,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,2,4,50%
ARECIBO,MANATÍ,BARCELONETA,10702,FERNANDO SURIA CHAVES,PUERTORRIQUEÑOS,208,281,74.02%
ARECIBO,MANATÍ,BARCELONETA,10702,FERNANDO SURIA CHAVES,HISPANOS NO PUERTORRIQUEÑOS,10,14,71.42%
ARECIBO,MANATÍ,BARCELONETA,10702,FERNANDO SURIA CHAVES,BLANCOS NO HISPANOS,0,2,0%
ARECIBO,MANATÍ,BARCELONETA,10702,FERNANDO SURIA CHAVES,OTRO ORIGEN ÉTNICO,1,1,100%
ARECIBO,MANATÍ,BARCELONETA,10702,FERNANDO SURIA CHAVES,FEMENINO,111,136,81.61%
ARECIBO,MANATÍ,BARCELONETA,10702,FERNANDO SURIA CHAVES,MASCULINO,108,162,66.66%
ARECIBO,MANATÍ,FLORIDA,10827,JUAN PONCE DE LEÓN II,TODOS,144,199,72.36%
ARECIBO,MANATÍ,FLORIDA,10827,JUAN PONCE DE LEÓN II,IMPEDIDOS,30,50,60%
ARECIBO,MANATÍ,FLORIDA,10827,JUAN PONCE DE LEÓN II,BAJO NIVEL DE POBREZA,105,146,71.91%
ARECIBO,MANATÍ,FLORIDA,10827,JUAN PONCE DE LEÓN II,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,3,4,75%
ARECIBO,MANATÍ,FLORIDA,10827,JUAN PONCE DE LEÓN II,PUERTORRIQUEÑOS,144,197,73.09%
ARECIBO,MANATÍ,FLORIDA,10827,JUAN PONCE DE LEÓN II,HISPANOS NO PUERTORRIQUEÑOS,0,2,0%
ARECIBO,MANATÍ,FLORIDA,10827,JUAN PONCE DE LEÓN II,BLANCOS NO HISPANOS,0,0,0%
ARECIBO,MANATÍ,FLORIDA,10827,JUAN PONCE DE LEÓN II,OTRO ORIGEN ÉTNICO,0,0,0%
ARECIBO,MANATÍ,FLORIDA,10827,JUAN PONCE DE LEÓN II,FEMENINO,81,100,81%
ARECIBO,MANATÍ,FLORIDA,10827,JUAN PONCE DE LEÓN II,MASCULINO,63,99,63.63%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDÍA,TODOS,89,141,63.12%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDÍA,IMPEDIDOS,16,29,55.17%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDÍA,BAJO NIVEL DE POBREZA,72,116,62.06%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDÍA,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,0,0%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDÍA,PUERTORRIQUEÑOS,84,135,62.22%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDÍA,HISPANOS NO PUERTORRIQUEÑOS,5,6,83.33%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDÍA,BLANCOS NO HISPANOS,0,0,0%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDÍA,OTRO ORIGEN ÉTNICO,0,0,0%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDÍA,FEMENINO,55,89,61.79%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDÍA,MASCULINO,34,52,65.38%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,TODOS,33,44,75%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,IMPEDIDOS,7,11,63.63%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,BAJO NIVEL DE POBREZA,28,37,75.67%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,0,0%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,PUERTORRIQUEÑOS,33,43,76.74%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,HISPANOS NO PUERTORRIQUEÑOS,0,1,0%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,BLANCOS NO HISPANOS,0,0,0%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,OTRO ORIGEN ÉTNICO,0,0,0%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,FEMENINO,19,23,82.6%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,MASCULINO,14,21,66.66%
ARECIBO,CAMUY,LARES,11643,DOMINGO APONTE COLLAZO,TODOS,170,288,59.02%
ARECIBO,CAMUY,LARES,11643,DOMINGO APONTE COLLAZO,IMPEDIDOS,13,41,31.7%
ARECIBO,CAMUY,LARES,11643,DOMINGO APONTE COLLAZO,BAJO NIVEL DE POBREZA,107,199,53.76%
ARECIBO,CAMUY,LARES,11643,DOMINGO APONTE COLLAZO,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,1,0%
ARECIBO,CAMUY,LARES,11643,DOMINGO APONTE COLLAZO,PUERTORRIQUEÑOS,160,276,57.97%
ARECIBO,CAMUY,LARES,11643,DOMINGO APONTE COLLAZO,HISPANOS NO PUERTORRIQUEÑOS,10,12,83.33%
ARECIBO,CAMUY,LARES,11643,DOMINGO APONTE COLLAZO,BLANCOS NO HISPANOS,0,0,0%
ARECIBO,CAMUY,LARES,11643,DOMINGO APONTE COLLAZO,OTRO ORIGEN ÉTNICO,0,0,0%
ARECIBO,CAMUY,LARES,11643,DOMINGO APONTE COLLAZO,FEMENINO,97,146,66.43%
ARECIBO,CAMUY,LARES,11643,DOMINGO APONTE COLLAZO,MASCULINO,73,142,51.4%
ARECIBO,MANATÍ,MANATÍ,12088,FERNANDO CALLEJO,TODOS,123,191,64.39%
ARECIBO,MANATÍ,MANATÍ,12088,FERNANDO CALLEJO,IMPEDIDOS,20,28,71.42%
ARECIBO,MANATÍ,MANATÍ,12088,FERNANDO CALLEJO,BAJO NIVEL DE POBREZA,94,150,62.66%
ARECIBO,MANATÍ,MANATÍ,12088,FERNANDO CALLEJO,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,0,0%
ARECIBO,MANATÍ,MANATÍ,12088,FERNANDO CALLEJO,PUERTORRIQUEÑOS,122,185,65.94%
ARECIBO,MANATÍ,MANATÍ,12088,FERNANDO CALLEJO,HISPANOS NO PUERTORRIQUEÑOS,0,1,0%
ARECIBO,MANATÍ,MANATÍ,12088,FERNANDO CALLEJO,BLANCOS NO HISPANOS,0,0,0%
ARECIBO,MANATÍ,MANATÍ,12088,FERNANDO CALLEJO,OTRO ORIGEN ÉTNICO,1,5,20%
ARECIBO,MANATÍ,MANATÍ,12088,FERNANDO CALLEJO,FEMENINO,63,105,60%
ARECIBO,MANATÍ,MANATÍ,12088,FERNANDO CALLEJO,MASCULINO,60,86,69.76%
BAYAMÓN,OROCOVIS,MOROVIS,12377,JAIME A. COLLAZO DEL RÍO,TODOS,192,256,75%
BAYAMÓN,OROCOVIS,MOROVIS,12377,JAIME A. COLLAZO DEL RÍO,IMPEDIDOS,31,59,52.54%
BAYAMÓN,OROCOVIS,MOROVIS,12377,JAIME A. COLLAZO DEL RÍO,BAJO NIVEL DE POBREZA,144,198,72.72%
BAYAMÓN,OROCOVIS,MOROVIS,12377,JAIME A. COLLAZO DEL RÍO,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,1,1,100%
BAYAMÓN,OROCOVIS,MOROVIS,12377,JAIME A. COLLAZO DEL RÍO,PUERTORRIQUEÑOS,192,256,75%
BAYAMÓN,OROCOVIS,MOROVIS,12377,JAIME A. COLLAZO DEL RÍO,HISPANOS NO PUERTORRIQUEÑOS,0,0,0%
BAYAMÓN,OROCOVIS,MOROVIS,12377,JAIME A. COLLAZO DEL RÍO,BLANCOS NO HISPANOS,0,0,0%
BAYAMÓN,OROCOVIS,MOROVIS,12377,JAIME A. COLLAZO DEL RÍO,OTRO ORIGEN ÉTNICO,0,0,0%
BAYAMÓN,OROCOVIS,MOROVIS,12377,JAIME A. COLLAZO DEL RÍO,FEMENINO,101,123,82.11%
BAYAMÓN,OROCOVIS,MOROVIS,12377,JAIME A. COLLAZO DEL RÍO,MASCULINO,91,133,68.42%
ARECIBO,CAMUY,QUEBRADILLAS,12930,JUAN ALEJO ARIZMENDI,TODOS,172,207,83.09%
